Station,lat,long
Changi Airport MRT,1.35747897447692,103.98788356959
Bras Basah MRT,1.29686168649656,103.850667371637
Esplanade MRT,1.2936577245386,103.855081226245
Nicoll Highway MRT,1.29976684675139,103.86363696572
Stadium MRT,1.3028124684707,103.875337711089
Mountbatten MRT,1.30620190525331,103.882528081052
Dakota MRT,1.30854798388121,103.889064718377
Tai Seng MRT,1.33514150139202,103.888389300191
Bartley MRT,1.34250117805245,103.880177899184
Lorong Chuan MRT,1.35161217074555,103.864151938651
Marymount MRT,1.348707263451,103.839423132332
Farrer Road MRT,1.31743915158967,103.807379214161
Holland Village MRT,1.31224029631595,103.796399122407
one-north MRT,1.29975987493555,103.78745750525
Kent Ridge MRT,1.29353349887123,103.784572738173
Haw Par Villa MRT,1.28257135772488,103.781752725064
Pasir Panjang MRT,1.27621352233766,103.791350313288
Labrador Park MRT,1.27236838626952,103.803416232089
Telok Blangah MRT,1.27070647717762,103.809761611219
Bukit Panjang MRT,1.37900211641036,103.761535114929
Cashew MRT,1.36981544925552,103.76443921414
Hillview MRT,1.36234486803558,103.767418254007
Beauty World MRT,1.34122317558549,103.775794285083
King Albert Park MRT,1.335893496278,103.783235863233
Sixth Avenue MRT,1.33085764536226,103.796906838288
Tan Kah Kee MRT,1.32555623519898,103.807760304729
Botanic Gardens MRT,1.32238699517166,103.815385463093
Stevens MRT,1.32006555750626,103.826024401924
Rochor MRT,1.30385218527656,103.852769428884
Promenade MRT,1.29399798636232,103.860350000188
Bayfront MRT,1.28187378879209,103.859079764874
Downtown MRT,1.27944638178916,103.852840829581
Telok Ayer MRT,1.28206894769394,103.848648781083
Fort Canning MRT,1.29248194822996,103.844331362465
Bencoolen MRT,1.29891843369422,103.850353762717
Jalan Besar MRT,1.3051713878069,103.855295713435
Bendemeer MRT,1.31367252847691,103.862977620945
Geylang Bahru MRT,1.32130110228321,103.871622627142
Mattar MRT,1.32687671501334,103.883247509542
MacPherson MRT,1.32615024457361,103.889298600376
Ubi MRT,1.32997425973974,103.899226655439
Kaki Bukit MRT,1.33496735995428,103.908459338046
Bedok North MRT,1.33474211664091,103.91797832995
Bedok Reservoir MRT,1.33660782955099,103.932234623286
Tampines West MRT,1.34551530560119,103.938436971222
Tampines East MRT,1.35619148271544,103.9546344625
Upper Changi MRT,1.34173977444995,103.961472788634
Expo MRT,1.33538252614956,103.962374747451
Pasir Ris MRT,1.37304331635804,103.949284527763
Tampines MRT,1.34551530560119,103.938436971222
Simei MRT,1.34319707851829,103.953377214378
Tanah Merah MRT,1.32718729074675,103.946348600798
Bedok MRT,1.32040148729112,103.957183823478
Kembangan MRT,1.3210381335934,103.912947930851
Eunos MRT,1.31978354916088,103.903225807255
Paya Lebar MRT,1.3172473854035,103.892260753884
Aljunied MRT,1.3164326118157,103.882906044385
Kallang MRT,1.31148890998818,103.871386541754
Lavender MRT,1.30737781747063,103.862767633888
Bugis MRT,1.30046508509717,103.855706730933
Tanjong Pagar MRT,1.27656131737246,103.845725186759
Tiong Bahru MRT,1.28610253615775,103.827445112419
Redhill MRT,1.28963453412887,103.81674097205
Queenstown MRT,1.29455085184931,103.806077155982
Commonwealth MRT,1.30250199924325,103.798228523336
Buona Vista MRT,1.3072237082044,103.790253514502
Dover MRT,1.31140529320963,103.778637841909
Clementi MRT,1.31511625277378,103.765191452888
Chinese Garden MRT,1.34235282081401,103.732596738363
Lakeside MRT,1.34425911493819,103.720949087456
Boon Lay MRT,1.33860405469845,103.706064622772
Pioneer MRT,1.33758701106708,103.697321608474
Joo Koon MRT,1.3277170408447,103.678374996165
Gul Circle MRT,1.31947090075208,103.660530461345
Tuas Crescent MRT,1.32102695598684,103.649078235627
Tuas West Road MRT,1.32998504653102,103.639616648771
Tuas Link MRT,1.34088242451105,103.636991425128
HarbourFront MRT,1.26538938374901,103.821530157095
Outram Park MRT,1.2802415328084,103.840052100136
Chinatown MRT,1.28422391919085,103.845143798953
Clarke Quay MRT,1.28838602407588,103.846555209694
Little India MRT,1.30680019696174,103.849647059738
Farrer Park MRT,1.31314029963164,103.854754721344
Boon Keng MRT,1.31933570922514,103.861569454156
Potong Pasir MRT,1.33137949021368,103.869055656782
Woodleigh MRT,1.33919004519388,103.87081830915
Serangoon MRT,1.35063361526525,103.872771660431
Kovan MRT,1.36017917065237,103.885064856353
Hougang MRT,1.37129226620797,103.892380513029
Buangkok MRT,1.38287001971672,103.893122569706
Sengkang MRT,1.39169462601522,103.895484694279
Punggol MRT,1.41492733388605,103.910166388177
Jurong East MRT,1.33315281585758,103.742286332403
Bukit Batok MRT,1.34903331201636,103.749566478309
Bukit Gombak MRT,1.35861159094192,103.751790910733
Choa Chu Kang MRT,1.38536316540225,103.744370779756
Yew Tee MRT,1.39753506936297,103.747405150236
Kranji MRT,1.42508698073648,103.762137459497
Marsiling MRT,1.43252114855026,103.774074641403
Admiralty MRT,1.44058856161847,103.800990519771
Sembawang MRT,1.44905082158502,103.820046140211
Canberra MRT,1.44307664075699,103.829702590959
Yishun MRT,1.42944308477331,103.835005047246
Khatib MRT,1.41738337009565,103.832979908243
Yio Chu Kang MRT,1.38175587099132,103.84494727118
Ang Mo Kio MRT,1.36993284962262,103.84955809232
Bishan MRT,1.35131580146658,103.84914026532
Braddell MRT,1.3404690010277,103.846799083148
Toa Payoh MRT,1.33262928096888,103.847502198048
Novena MRT,1.32044079120154,103.843825618748
Newton MRT,1.3123189224097,103.837984594021
Orchard MRT,1.30242224836722,103.823868523249
Somerset MRT,1.30026416739006,103.839085753124
Dhoby Ghaut MRT,1.29870132536119,103.846113677951
City Hall MRT,1.29293672227779,103.852585580366
Raffles Place MRT,1.28393326234538,103.851463066212
Marina Bay MRT,1.276410298755,103.854595522263
Marina South Pier MRT,1.27102703612006,103.862447515736
Woodlands North MRT,1.44829245259621,103.785692682441
Woodlands MRT,1.43605761708128,103.787938777173
Woodlands South MRT,1.42739605281442,103.79326432221
Springleaf MRT,1.39758106126824,103.817856949947
Lentor MRT,1.38550657972169,103.835743809669
Mayflower MRT,1.37146318831015,103.836567766945
Bright Hill MRT,1.36328318545185,103.832893619992
Upper Thomson MRT,1.35441643365401,103.832898468504
Caldecott MRT,1.33724561271722,103.840161782075
Petir LRT,1.37777204259082,103.766645782497
Pending LRT,1.37613574334988,103.771261175571
Bangkit LRT,1.38002223010088,103.772647370452
Fajar LRT,1.38457317668026,103.770887223018
Segar LRT,1.38778508663361,103.769599685249
Jelapang LRT,1.38673926997961,103.76453408646
Senja LRT,1.38272547134453,103.76234425472
Phoenix LRT,1.37861545104083,103.757995558346
Teck Whye LRT,1.37668467920808,103.753712232337
Keat Hong LRT,1.3786032506373,103.749055668925
South View LRT,1.38029828742399,103.745291799824
Cheng Lim LRT,1.39627763344324,103.893797181731
Farmway LRT,1.39717019591821,103.889304824196
Kupang LRT,1.39821283031379,103.881256222255
Thanggam LRT,1.39731815581938,103.875635154729
Fernvale LRT,1.39188589234766,103.87630862552
Layar LRT,1.39207983659997,103.880029600546
Tongkang LRT,1.38934794658941,103.885844150116
Renjong LRT,1.38670058991904,103.89062131608
Compassvale LRT,1.39449304450373,103.900492450944
Rumbia LRT,1.39146849534132,103.90597359341
Bakau LRT,1.38799431054768,103.905415300171
Kangkar LRT,1.38395911688913,103.90222537044
Ranggung LRT,1.38423355918277,103.897194667804
Damai LRT,1.40523483636957,103.908603542566
Oasis LRT,1.40228667971123,103.912727352412
Kadaloor LRT,1.39950910636258,103.916574974234
Riviera LRT,1.39451978540251,103.916169381157
Coral Edge LRT,1.39390922863313,103.912580845515
Meridian LRT,1.3969120498774,103.908950224489
Cove LRT,1.39928198837342,103.905961941214
Sam Kee LRT,1.40961268528804,103.904831550608
Punggol Point LRT,1.41684852031206,103.906650789313
Samudera LRT,1.41590172160383,103.902156317163
Nibong LRT,1.41185447744238,103.900339452055
Sumang LRT,1.40845241943079,103.898558450395
Soo Teck LRT,1.40532331860455,103.897290522033
